filename,source_report,buffer,prefix,report_type,router,seed,ttl,delivery_prob,overhead_ratio,latency_avg,hopcount_avg,buffertime_avg
TEST_EpidemicRouter_10_104_100M_MessageStatsReport.txt,MessageStatsReport,100,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5728,34.8976,3707.2386,2.6065,2157.3695
TEST_EpidemicRouter_10_104_15M_MessageStatsReport.txt,MessageStatsReport,15,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5374,37.1325,3647.6597,2.7379,1976.2747
TEST_EpidemicRouter_10_104_22M_MessageStatsReport.txt,MessageStatsReport,22,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5644,35.4021,3709.5163,2.6357,2116.7676
TEST_EpidemicRouter_10_104_34M_MessageStatsReport.txt,MessageStatsReport,34,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5675,35.2071,3709.317,2.6207,2154.5635
TEST_EpidemicRouter_10_104_43M_MessageStatsReport.txt,MessageStatsReport,43,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5724,34.8947,3703.1074,2.6113,2160.9344
TEST_EpidemicRouter_10_104_57M_MessageStatsReport.txt,MessageStatsReport,57,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5728,34.8976,3707.2386,2.6065,2157.3695
TEST_EpidemicRouter_10_104_5M_MessageStatsReport.txt,MessageStatsReport,5,TEST,MessageStatsReport,EpidemicRouter,10,104,0.306,62.3352,3115.8152,3.9879,1124.0613
TEST_EpidemicRouter_10_104_60M_MessageStatsReport.txt,MessageStatsReport,60,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5728,34.8976,3707.2386,2.6065,2157.3695
TEST_EpidemicRouter_10_104_77M_MessageStatsReport.txt,MessageStatsReport,77,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5728,34.8976,3707.2386,2.6065,2157.3695
TEST_EpidemicRouter_10_104_92M_MessageStatsReport.txt,MessageStatsReport,92,TEST,MessageStatsReport,EpidemicRouter,10,104,0.5728,34.8976,3707.2386,2.6065,2157.3695
TEST_EpidemicRouter_10_104_9M_MessageStatsReport.txt,MessageStatsReport,9,TEST,MessageStatsReport,EpidemicRouter,10,104,0.4564,43.1833,3488.4098,3.1519,1619.9565
TEST_EpidemicRouter_10_120_100M_MessageStatsReport.txt,MessageStatsReport,100,TEST,MessageStatsReport,EpidemicRouter,10,120,0.6148,32.9169,4199.6896,2.5707,2483.9055
TEST_EpidemicRouter_10_120_15M_MessageStatsReport.txt,MessageStatsReport,15,TEST,MessageStatsReport,EpidemicRouter,10,120,0.5657,35.7707,4100.2498,2.7603,2193.1079
TEST_EpidemicRouter_10_120_22M_MessageStatsReport.txt,MessageStatsReport,22,TEST,MessageStatsReport,EpidemicRouter,10,120,0.603,33.7404,4193.8491,2.6107,2389.6391
TEST_EpidemicRouter_10_120_34M_MessageStatsReport.txt,MessageStatsReport,34,TEST,MessageStatsReport,EpidemicRouter,10,120,0.6142,33.0191,4192.8217,2.589,2475.7505
TEST_EpidemicRouter_10_120_43M_MessageStatsReport.txt,MessageStatsReport,43,TEST,MessageStatsReport,EpidemicRouter,10,120,0.6123,33.1423,4214.0154,2.576,2479.5705
