filename,source_report,buffer,prefix,report_type,router,seed,ttl,delivery_prob,overhead_ratio,latency_avg,hopcount_avg,buffertime_avg
TEST_FirstContactRouter_10_104_100M_MessageStatsReport.txt,MessageStatsReport,100,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_15M_MessageStatsReport.txt,MessageStatsReport,15,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_22M_MessageStatsReport.txt,MessageStatsReport,22,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_34M_MessageStatsReport.txt,MessageStatsReport,34,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_43M_MessageStatsReport.txt,MessageStatsReport,43,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_57M_MessageStatsReport.txt,MessageStatsReport,57,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_5M_MessageStatsReport.txt,MessageStatsReport,5,TEST,MessageStatsReport,FirstContactRouter,10,104,0.1532,67.4558,2863.7713,7.4574,451.0974
TEST_FirstContactRouter_10_104_60M_MessageStatsReport.txt,MessageStatsReport,60,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_77M_MessageStatsReport.txt,MessageStatsReport,77,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_92M_MessageStatsReport.txt,MessageStatsReport,92,TEST,MessageStatsReport,FirstContactRouter,10,104,0.168,64.1123,2974.9127,7.3396,478.6826
TEST_FirstContactRouter_10_104_9M_MessageStatsReport.txt,MessageStatsReport,9,TEST,MessageStatsReport,FirstContactRouter,10,104,0.1701,63.1155,2994.6658,7.457,479.1733
TEST_FirstContactRouter_10_120_100M_MessageStatsReport.txt,MessageStatsReport,100,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_15M_MessageStatsReport.txt,MessageStatsReport,15,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_22M_MessageStatsReport.txt,MessageStatsReport,22,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_34M_MessageStatsReport.txt,MessageStatsReport,34,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_43M_MessageStatsReport.txt,MessageStatsReport,43,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_57M_MessageStatsReport.txt,MessageStatsReport,57,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_5M_MessageStatsReport.txt,MessageStatsReport,5,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1663,64.7648,3241.6005,8.0305,473.7971
TEST_FirstContactRouter_10_120_60M_MessageStatsReport.txt,MessageStatsReport,60,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_77M_MessageStatsReport.txt,MessageStatsReport,77,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_92M_MessageStatsReport.txt,MessageStatsReport,92,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1945,58.3582,3469.6859,7.8523,519.1243
TEST_FirstContactRouter_10_120_9M_MessageStatsReport.txt,MessageStatsReport,9,TEST,MessageStatsReport,FirstContactRouter,10,120,0.1922,59.1137,3438.1431,7.7747,516.0415
TEST_FirstContactRouter_10_133_100M_MessageStatsReport.txt,MessageStatsReport,100,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_15M_MessageStatsReport.txt,MessageStatsReport,15,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2093,56.7388,3807.3328,8.048,546.2436
TEST_FirstContactRouter_10_133_22M_MessageStatsReport.txt,MessageStatsReport,22,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_34M_MessageStatsReport.txt,MessageStatsReport,34,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_43M_MessageStatsReport.txt,MessageStatsReport,43,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_57M_MessageStatsReport.txt,MessageStatsReport,57,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_5M_MessageStatsReport.txt,MessageStatsReport,5,TEST,MessageStatsReport,FirstContactRouter,10,133,0.174,63.5555,3454.4901,8.3887,484.579
TEST_FirstContactRouter_10_133_60M_MessageStatsReport.txt,MessageStatsReport,60,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_77M_MessageStatsReport.txt,MessageStatsReport,77,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_92M_MessageStatsReport.txt,MessageStatsReport,92,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2117,56.1647,3806.8047,8.0802,544.6587
TEST_FirstContactRouter_10_133_9M_MessageStatsReport.txt,MessageStatsReport,9,TEST,MessageStatsReport,FirstContactRouter,10,133,0.2087,56.5489,3737.3422,7.9806,544.0127
TEST_FirstContactRouter_10_154_100M_MessageStatsReport.txt,MessageStatsReport,100,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2391,51.9996,4356.5227,8.4521,594.2949
TEST_FirstContactRouter_10_154_15M_MessageStatsReport.txt,MessageStatsReport,15,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2377,52.3662,4293.8141,8.3851,592.9608
TEST_FirstContactRouter_10_154_22M_MessageStatsReport.txt,MessageStatsReport,22,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2391,51.9996,4356.5227,8.4521,594.2949
TEST_FirstContactRouter_10_154_34M_MessageStatsReport.txt,MessageStatsReport,34,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2391,51.9996,4356.5227,8.4521,594.2949
TEST_FirstContactRouter_10_154_43M_MessageStatsReport.txt,MessageStatsReport,43,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2391,51.9996,4356.5227,8.4521,594.2949
TEST_FirstContactRouter_10_154_57M_MessageStatsReport.txt,MessageStatsReport,57,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2391,51.9996,4356.5227,8.4521,594.2949
TEST_FirstContactRouter_10_154_5M_MessageStatsReport.txt,MessageStatsReport,5,TEST,MessageStatsReport,FirstContactRouter,10,154,0.1827,62.4877,3873.0176,8.9271,503.9519
TEST_FirstContactRouter_10_154_60M_MessageStatsReport.txt,MessageStatsReport,60,TEST,MessageStatsReport,FirstContactRouter,10,154,0.2391,51.9996,4356.5227,8.4521,594.2949
